Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
DJ Patil on Data Science: The Ask Me Anything Conversations,"DJ Patil—the former United States Chief Data Scientist—boasts a unique perspective on the future, risks, and all-around power of data. In addition to shaping policies at the White House, he's authored influential academic papers and served as head of data products at LinkedIn, where he helped to coin the term ""data scientist."" In this single-course compilation of the popular weekly series, DJ tackles questions posed by LinkedIn members, diving into topics ranging from data security to the future of data science.",Course,N/A,N/A,true,N/A,
Introduction to Prompt Engineering for Generative AI (2023),"<p>If you are a beginner looking to learn more about Natural Language Processing (NLP) capabilities or a developer wanting to get started with modern NLP APIs, this course offers a great introduction. Software developer and instructor Ronnie Sheer guides you through what large language models are and what problems they may be able to solve. Ronnie dives into text generation, starting with a warning to use text generation AI responsibly, then moving on to Chat GPT, GPT-3, and J1 with few-shot learning. He introduces you to the AI generated image landscape, then shows you how to use Dall-E and Midjourney. Plus, Ronnie goes over a couple of advanced concepts, like how to fine tune your prompts and how to interact with language models using an API.</p>",Course,N/A,N/A,true,N/A,
Generative AI for Marketing Professionals,"<p>Are you looking to supercharge your marketing skills and leverage generative AI on your next campaign? In this course from Pearson, join instructor Tim Warner as he shows you how to elevate your marketing strategy by creating high-impact content, engaging customers through AI-driven platforms, and automating repetitive tasks. Along the way, Tim covers leading tools including Jasper, Salesforce Einstein AI, Google Gemini, Claude, and ChatGPT, providing real-world techniques along the way to highlight how to leverage generative AI more effectively. By the end of this course, you’ll be equipped with practical skills to transform and optimize your marketing outcomes.</p><p>This course was created by Pearson. We are pleased to host this training in our library.</p>",Course,2025-10-21 15:11 UTC,N/A,false,N/A,
Resume Tips for Leaders and Managers,"Are you looking for a new job as a manager, but not sure what to do with your resume? Join instructor and professional resume writer Sarah Johnston in this approachable executive skills course. Follow along as she introduces you to practical strategies to create a stand-out resume, with tips that you can put to use the next time you’re interviewing for a new role.<br><br>Get started by outlining the unique features of a leadership and management skills-based resume. Find out how to articulate your strengths on the page to craft a branding message that’s targeted for the role. Sarah gives you pointers on sharing your accomplishments and showcasing your talents as a leader, guiding you through everything you need to know to design a memorable, eye-catching, and error-free professional resume.",Course,2025-02-27 00:11 UTC,N/A,true,N/A,
Maîtriser Excel par la pratique,"Si vous devez utiliser Excel au quotidien, ce cours est fait pour vous. À travers des exemples précis, Martial Auroy vous guide dans l'utilisation d'Excel et vous donne ses meilleures astuces. Vous aborderez ensemble des thèmes comme l’ajustement de vos impressions, la zone d’impression, les tableaux croisés dynamiques, la mise en forme conditionnelle, etc. Vous saurez ainsi, à la fin de cette formation très complète, comment vous organiser, gérer votre classeur, calculer, manipuler du texte et passer des éléments en tableau et même imprimer et exporter !",Course,2019-09-11 15:32 UTC,N/A,false,N/A,
Motiver une équipe à distance,"Découvrez cette formation audio sur comment motiver une équipe qui travaille en remote. Flavie Prévot, ancienne dirigeante en grand groupe, vous présente le contenu de ce cours. Après avoir managé de grandes équipes et cofondé un collectif pour réaliser des managements à distance, elle puise dans ses nombreuses années d'expérience pour vous proposer des outils efficaces et des méthodes concrètes. Ce cours va vous permettre de mieux communiquer, de mobiliser vos équipes et de souder vos collaborateurs à distance. </br></br> Cette formation a été créée par Flavie Prévot. Nous sommes ravis d'héberger ce contenu sur notre plateforme.",Course,2024-11-30 17:56 UTC,N/A,false,N/A,
Social Media Video for Business and Marketing,"In the world of business and marketing, well-planned and well-executed social media videos are more important than ever. But not all videos are the same. Each type of video is a specific tool, and it’s important to use these tools in the right ways to achieve the best results. In this course, senior staff instructor Ashley Kennedy provides a thorough introduction to the role of video in social media marketing campaigns—and discusses how to best leverage video in your overall content strategy. She then delivers a rundown of the top types of social media videos, including explainers, vlogs, product videos, interviews, long-form content, and more. After watching this course, you'll be familiar with various video strategies and prepared to learn more about how to create each type of video.",Course,N/A,N/A,true,N/A,
Ten Micro-Impressions to Make in an Interview,"A successful interview isn't just about making an impression, but rather about making a series of the <i>right</i> impressions—consciously or subconsciously—at a micro level. It may sound overwhelming, but you can make all of the right impressions as a candidate if you plan for it as part of your overall interview preparation strategy. Unlock the secret to entering an interview without feeling burdened by a checklist of required first impressions. Gather insights from instructor Scott Mautz on altering and supplementing your interview prep to ensure the impressions you want to make are made naturally. As you progress through the course, Scott offers wisdom drawn from over ten years of professional experience leading a high-producing recruiting team to help you set the stage for interview success.",Course,2025-06-17 06:39 UTC,N/A,false,N/A,
Arrêter de fumer,"Cette formation de Christophe Cutarella va vous aider à comprendre et à surmonter l'addiction au tabac. Vous y apprendrez les bases de la dépendance, l'inégalité face aux addictions, quels sont les réseaux de soin et l'historique du tabagisme. Vous découvrirez comment gérer le craving, adapter votre mode de vie, prévenir et traiter les rechutes, et utiliser des substituts nicotiniques. Vous aborderez également le sevrage, les substituts, la gestion de la prise de poids, l'efficacité et les risques de la vape, tout en démystifiant les idées reçues sur le tabac et la vape.",Course,2024-07-24 11:26 UTC,N/A,false,N/A,
Design Your First Infographic,"Infographics distill information into a digestible, picture-driven format that viewers can easily retain. Whether you wish to design your first infographic for a marketing report, a personal project, a company brochure, or an event, this course walks you through the very first steps. No prior knowledge of infographic design is needed. Instructor Nigel French helps you identify when a graphic representation is better than a written one, and he goes over the fundamental design aspects of infographics such as icons and font choices. Plus, learn where to find sources of inspiration and raw material—including accurate data—for your infographic.",Course,2025-06-23 03:22 UTC,N/A,false,N/A,
L'analyse de données avec l'IA générative,"Avec Vincent Terrasi, plongez dans l'analyse de données avec l'IA générative. D'abord, vous acquerrez les prérequis essentiels, les nouveaux outils et la compréhension des projets de data science. Vous apprendrez à préparer les données en les nettoyant et les transformant avec l'IA, ainsi qu'à choisir et optimiser les modèles d'IA pour des applications variées telles que la prédiction des ventes ou l'optimisation des campagnes marketing. À travers des études de cas, vous découvrirez comment des entreprises utilisent l'IA pour analyser les données, les défis rencontrés, et les solutions proposées. Enfin, vous explorerez les tendances futures en IA et en analyse de données.",Course,2024-05-20 23:10 UTC,N/A,false,N/A,
Writing with Impact,"There's no such thing as generic ""good"" writing. Writing quality—and impact—comes from how well it fits its purpose. This course shows how to give all your writing more impact, regardless of its purpose. Writer and journalist Tom Geller helps you find your own reasons for writing, demonstrating how to use those reasons to drive the words you choose and the tone you take. Plus, he shares how to leverage your understanding of grammar and sentence structure to write nearly anything with maximum impact. Upon completing this course, you'll be equipped with practical tips for making your prose clear, concise, and right for its specific purpose.",Course,2024-12-26 17:02 UTC,N/A,false,N/A,
SEO: Optimize Your Social Media Profiles,"<p>Social media marketing can help you to build a community of followers who grow to know, like, trust, and advocate your brand. In this course, social media SEO expert Sam Dey details how to build an SEO strategy for your social media marketing activities and positively impact your company’s overall visibility within major search engines.</p>
<p>Sam covers opportunities to thoughtfully leverage important aspects of social media, including building authority, social bookmarking websites, and content creation. He highlights the important role that social media plays in relation to SEO, as well as how to effectively optimize social media profiles for increased visibility, followers, and engagement. Sam also covers SEO best practices for short-form content on TikTok, Instagram, and YouTube. Build the SEO strategy for your social media marketing efforts with the concrete actions outlined in this course.</p>",Course,N/A,N/A,true,N/A,
